browser,os,locale,location,sites,time,date
Firefox,Windows 7,xh-ZA,USA/New York,"[{'site': 'rr.office.microsoft.com', 'length': 94}]",11:30:00,2016-10-05
Chrome,Windows 10,pl-PL,Japan/Tokyo,"[{'site': 'maps.google.com', 'length': 14}, {'site': 'mts0.google.com', 'length': 130}, {'site': 'khms0.google.com', 'length': 1}, {'site': 'mts0.google.com', 'length': 155}, {'site': 'mts1.google.com', 'length': 155}, {'site': 'khms1.google.com', 'length': 158}, {'site': 'khms0.google.com', 'length': 1}, {'site': 'khms1.google.com', 'length': 102}]",14:35:00,2016-05-06
Firefox,Debian,vi-VN,France/Paris,"[{'site': 'cbk1.googleapis.com', 'length': 178}, {'site': 'accounts.google.com', 'length': 1}, {'site': 'cbk0.googleapis.com', 'length': 1}, {'site': 'cbk1.googleapis.com', 'length': 120}, {'site': 'twitter.com', 'length': 184}, {'site': 'accounts.google.com', 'length': 193}, {'site': 'cbk0.googleapis.com', 'length': 1}, {'site': 'cbk0.googleapis.com', 'length': 1}]",14:31:00,2016-03-27
Firefox,Debian,en-US,Canada/Vancouver,"[{'site': 'annotathon.org', 'length': 72}, {'site': 'annotathon.org', 'length': 30}, {'site': 'annotathon.org', 'length': 30}, {'site': 'annotathon.org', 'length': 30}, {'site': 'annotathon.org', 'length': 30}, {'site': 'annotathon.org', 'length': 30}]",10:55:00,2016-12-31
Firefox,Debian,en-CA,Australia/Sydney,"[{'site': 'apis.google.com', 'length': 75}, {'site': 'fr.wikipedia.org', 'length': 137}, {'site': 'bits.wikimedia.org', 'length': 176}, {'site': 'meta.wikimedia.org', 'length': 1}, {'site': 'fr.wikipedia.org', 'length': 55}, {'site': 'meta.wikimedia.org', 'length': 36}, {'site': 'bits.wikimedia.org', 'length': 178}, {'site': 'fr.wikipedia.org', 'length': 125}, {'site': 'fr.wikipedia.org', 'length': 67}]",03:30:00,2017-01-19
Firefox,Windows 10,en-AU,UK/London,"[{'site': 'plus.google.com', 'length': 125}, {'site': 'www.google.fr', 'length': 8}, {'site': 'plus.google.com', 'length': 263}, {'site': 'www.google.fr', 'length': 41}, {'site': 'www.google.fr', 'length': 374}]",10:06:00,2016-02-20
Safari,Windows 8,ru-RU,Canada/Toronto,"[{'site': 'translate.google.com', 'length': 88}, {'site': 'www.google.com', 'length': 87}, {'site': 'search.twitter.com', 'length': 101}, {'site': 'html5doctor.com', 'length': 15}, {'site': 'twitter.com', 'length': 30}, {'site': 'www.google.fr', 'length': 69}]",13:05:00,2017-07-25
Firefox,Debian,nl-NL,Germany/Berlin,"[{'site': 'apis.google.com', 'length': 89}, {'site': 'www.google.fr', 'length': 63}, {'site': 'www.facebook.com', 'length': 2}, {'site': 'i1.ztat.net', 'length': 1}, {'site': 'track.zalando.fr', 'length': 60}]",02:16:00,2017-02-27
Chrome,Windows 10,nl-NL,Australia/Sydney,"[{'site': 'cbks0.google.com', 'length': 92}, {'site': 'maps.google.fr', 'length': 27}, {'site': 'mts1.google.com', 'length': 114}, {'site': 'mts0.google.com', 'length': 56}, {'site': 'mts0.google.com', 'length': 1}, {'site': 'mts1.google.com', 'length': 68}, {'site': 'maps.google.fr', 'length': 43}, {'site': 'www.google.com', 'length': 16}, {'site': 'www.google.fr', 'length': 118}, {'site': 'apis.google.com', 'length': 1}]",21:13:00,2016-07-31
Firefox,Windows 7,xh-ZA,New Zealand/Auckland,"[{'site': 'ec.gc.ca', 'length': 25}, {'site': 'clients1.google.fr', 'length': 55}, {'site': 'plus.google.com', 'length': 125}, {'site': 'www.google.fr', 'length': 124}, {'site': 'clients1.google.fr', 'length': 16}, {'site': 'www.google.fr', 'length': 29}, {'site': 'www.google.fr', 'length': 5}, {'site': 'www.google.fr', 'length': 10}, {'site': '7pgom5c1ao.s.ad6media.fr', 'length': 1}, {'site': 'f5a9bmz6g6.s.ad6media.fr', 'length': 49}]",10:59:00,2016-07-12
Chrome,MacOS,zh-CN,USA/New York,"[{'site': 'clients1.google.fr', 'length': 168}, {'site': 'club.caradisiac.com', 'length': 92}, {'site': 'static.ak.facebook.com', 'length': 84}, {'site': 'club.caradisiac.com', 'length': 1}, {'site': 'listener.ezakus.net', 'length': 31}, {'site': 's-static.ak.facebook.com', 'length': 189}, {'site': 'www.facebook.com', 'length': 165}, {'site': 'ocsp.starfieldtech.com', 'length': 1}, {'site': 'www.codizy.com', 'length': 5}, {'site': 'www.google.com', 'length': 1}]",02:00:00,2016-07-23
Chrome,Ubuntu,en-NZ,New Zealand/Auckland,"[{'site': 'twitter.com', 'length': 117}, {'site': 'accounts.google.com', 'length': 3}, {'site': 'billetterie.clermontfoot.dspsport.com', 'length': 8}, {'site': 'maps.google.com', 'length': 12}, {'site': 's-static.ak.facebook.com', 'length': 135}, {'site': 'www.facebook.com', 'length': 119}, {'site': 'apis.google.com', 'length': 91}]",10:49:00,2017-03-20
Chrome,MacOS,fr-FR,China/Shanghai,"[{'site': 'www.google.com', 'length': 54}, {'site': 'fr.openclassrooms.com', 'length': 1}, {'site': 'www.google.com', 'length': 2}, {'site': 'doug1izaerwt3.cloudfront.net', 'length': 78}]",13:59:00,2016-03-06
Firefox,Windows 10,en-GB,France/Paris,"[{'site': 'apnx-match.dotomi.com', 'length': 40}, {'site': 'um.simpli.fi', 'length': 1}, {'site': 'ocsp.comodoca.com', 'length': 1}, {'site': 'clients1.google.com', 'length': 53}, {'site': 'twitter.com', 'length': 7}, {'site': 'pixel2368.everesttech.net', 'length': 8}, {'site': 'www.google.fr', 'length': 11}, {'site': 'www.areaprog.com', 'length': 1}, {'site': 'www.areaprog.com', 'length': 1}]",00:58:00,2017-06-21
Chrome,Windows 10,de-DE,France/Paris,"[{'site': 'www.fff.fr', 'length': 124}, {'site': 'auvergne.fff.fr', 'length': 16}, {'site': 'www.bing.com', 'length': 3}]",02:52:00,2017-06-18
Firefox,Windows 10,en-US,Brazil/Rio de Janeiro,"[{'site': 'worldcup-in-brazil.com', 'length': 58}, {'site': 'w.sharethis.com', 'length': 187}, {'site': 'i1.wp.com', 'length': 1}, {'site': 'farm3.staticflickr.com', 'length': 87}, {'site': 'farm4.staticflickr.com', 'length': 102}, {'site': 's.gravatar.com', 'length': 194}, {'site': 'platform.twitter.com', 'length': 129}, {'site': 's0.wp.com', 'length': 110}, {'site': 'i0.wp.com', 'length': 124}, {'site': 'www.fifa.com', 'length': 32}]",18:27:00,2016-11-02
